sampleID_bact,sampleID_fung,sample_type,Sample_or_Control,extract_num,extract_kit,fungal_PCR_conc,raw_DNA_conc,bact_dilution,dil_DNA_conc,description,start_date,collect_date,short_description,wet_mass,vol_filter,sub_proj,plant_type,field_plot,gh_block,rain_trt,pot_num,UTM_lat,UTM_long,exp_len,seq_plate_no,seq_plate_row,seq_plate_col
Leaf70,Leaf70,Leaf,Sample,70,Plant_2,1.018,NA,NA,NA,Adult Block 4,Adult,7/16/2018,Block4_43297,0.054,NA,Marshall,Adult,B4,B4,Field_rain,NA,638811.969,4700754.249,NA,3,B,1
Leaf72,Leaf72,Leaf,Sample,72,Plant_2,2.7995,NA,NA,NA,Greenhouse Contr Pot 11,7/10/2018,7/16/2018,Pot_11_43297,0.0108,NA,Marshall,Seedling,Greenhouse,B1,No_rain,11,NA,NA,6,3,D,1
Leaf05,Leaf05,Leaf,Sample,5,Plant_1,2.1413,NA,NA,NA,Greenhouse Contr Pot 36,7/10/2018,7/16/2018,Pot_36_43297,0.0069,NA,Marshall,Seedling,Greenhouse,B3,No_rain,36,NA,NA,6,2,C,5
Leaf17,Leaf17,Leaf,Sample,17,Plant_1,1.5215,NA,NA,NA,Greenhouse Contr Pot 35,7/10/2018,7/16/2018,Pot_35_43297,0.0114,NA,Marshall,Seedling,Greenhouse,B3,No_rain,35,NA,NA,6,2,G,6
Leaf21,Leaf21,Leaf,Sample,21,Plant_1,3.071,NA,NA,NA,Greenhouse Contr Pot 47,7/10/2018,7/16/2018,Pot_47_43297,0.0184,NA,Marshall,Seedling,Greenhouse,B4,No_rain,47,NA,NA,6,2,C,7
Leaf46,Leaf46,Leaf,Sample,46,Plant_1,1.98635,NA,NA,NA,Greenhouse Contr Pot 23,7/10/2018,7/16/2018,Pot_23_43297,0.0108,NA,Marshall,Seedling,Greenhouse,B2,No_rain,23,NA,NA,6,2,D,10
RX056Marsh56,RX056Marsh56,Rain,Sample,56,Water_1,11.4272,4.3,1,4.3,Marshall B1,7/16/2018,7/20/2018,Marsh56,NA,350,Marshall,Rain,B1,B1,Rain,B1,639046.075,4700603.84,4,1,B,8
RX058Marsh58,RX058Marsh58,Rain,Sample,58,Water_1,8.9275,3.3,1,3.3,Marshall B2,7/16/2018,7/20/2018,Marsh58,NA,350,Marshall,Rain,B2,B2,Rain,B2,638976.568,4700616.674,4,1,D,8
RX017Marsh17,RX017Marsh17,Rain,Sample,17,Water_2,7.8562,3.32,1,3.32,Marshall B3,7/16/2018,7/20/2018,Marsh17,NA,300,Marshall,Rain,B3,B3,Rain,B3,638809.092,4700697.086,4,1,B,3
RX064Marsh64,RX064Marsh64,Rain,Sample,64,Water_1,1.0713,0.0226,1,0.0226,Marshall B4,7/16/2018,7/20/2018,Marsh64,NA,350,Marshall,Rain,B4,B4,Rain,B4,638811.969,4700754.249,4,1,B,9
