OTU_ID	Kingdom	Phylum	Class	Order	Family	Genus	Species
Zotu135	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Dioszegia	Dioszegia hungarica
Zotu136	Fungi	Ascomycota	Dothideomycetes	Dothideales	Aureobasidiaceae	Aureobasidium	Aureobasidium pullulans
Zotu137	Fungi						
Zotu138	Fungi	Ascomycota	Saccharomycetes	Saccharomycetales	Saccharomycetaceae	Saccharomyces	
Zotu139	Fungi	Basidiomycota	Agaricomycetes	Russulales	Peniophoraceae	Peniophora	Peniophora cinerea
Zotu140	Fungi	Ascomycota	Dothideomycetes	Dothideales	Aureobasidiaceae	Aureobasidium	Aureobasidium pullulans
Zotu141	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Dioszegia	Dioszegia hungarica
Zotu142	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Vishniacozyma	
Zotu143	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Dioszegia	Dioszegia zsoltii var. zsoltii
Zotu144	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Vishniacozyma	Vishniacozyma victoriae
Zotu145	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Hannaella	
Zotu146	Fungi	Basidiomycota	Tremellomycetes	Filobasidiales	Filobasidiaceae	Filobasidium	Filobasidium stepposum
Zotu147	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae		
Zotu148	Fungi	Ascomycota	Dothideomycetes	Dothideales	Aureobasidiaceae	Aureobasidium	Aureobasidium pullulans
Zotu149	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Hannaella	Hannaella coprosmae
Zotu150	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae		
Zotu151	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Vishniacozyma	Vishniacozyma victoriae
Zotu152	Fungi	Basidiomycota	Exobasidiomycetes	Entylomatales	Incertae_sedis	Tilletiopsis	Tilletiopsis washingtonensis
Zotu153	Fungi	Basidiomycota	Ustilaginomycetes	Ustilaginales	Ustilaginaceae	Sporisorium	Sporisorium graminicola
Zotu154	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Hannaella	
Zotu155	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae		
Zotu156	Fungi	Basidiomycota	Microbotryomycetes	Sporidiobolales	Sporidiobolaceae	Sporobolomyces	
Zotu157	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Hannaella	
Zotu158	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Pleosporaceae	Bipolaris	
Zotu159	Fungi	Ascomycota	Taphrinomycetes	Taphrinales	Taphrinaceae	Taphrina	Taphrina sp 
Zotu160	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Dioszegia	Dioszegia zsoltii var. zsoltii
Zotu161	Fungi						
Zotu162	Fungi	Basidiomycota	Agaricomycetes	Cantharellales			
Zotu163	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae		
Zotu164	Fungi	Basidiomycota	Exobasidiomycetes	Entylomatales	Incertae_sedis	Tilletiopsis	
Zotu165	Fungi	Basidiomycota	Exobasidiomycetes	Entylomatales	Incertae_sedis	Tilletiopsis	
Zotu166	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Dioszegia	Dioszegia zsoltii var. zsoltii
Zotu167	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Phaeosphaeriaceae	Phaeosphaeria	
Zotu168	Fungi	Basidiomycota	Agaricomycetes	Russulales	Peniophoraceae	Peniophora	Peniophora cinerea
Zotu169	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	
Zotu170	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Didymellaceae	Didymella	
Zotu171	Fungi	Ascomycota	Sordariomycetes	Glomerellales	Glomerellaceae	Colletotrichum	
Zotu172	Fungi	Basidiomycota	Tremellomycetes	Cystofilobasidiales	Mrakiaceae	Udeniomyces	Udeniomyces pyricola
Zotu173	Fungi	Ascomycota	Dothideomycetes	Pleosporales	Leptosphaeriaceae		
Zotu174	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae		
Zotu175	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae		
Zotu176	Fungi	Basidiomycota	Ustilaginomycetes	Ustilaginales	Ustilaginaceae	Sporisorium	Sporisorium graminicola
Zotu177	Fungi	Basidiomycota	Agaricostilbomycetes	Agaricostilbales	Kondoaceae	Kondoa	Kondoa sp 
Zotu178	Fungi	Ascomycota	Sordariomycetes	Xylariales			
Zotu179	Alveolata	Ciliophora	Colpodea	Colpodida	Colpodidae	Colpoda	Colpoda sp 
Zotu180	Fungi	Ascomycota	Dothideomycetes	Capnodiales	Cladosporiaceae	Cladosporium	
Zotu181	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae		
Zotu182	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Irpicaceae	Irpex	Irpex lacteus
Zotu183	1.0000						
Zotu184	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae		
Zotu185	Fungi	Basidiomycota	Agaricomycetes	Polyporales	Ganodermataceae	Ganoderma	
Zotu186	Fungi	Ascomycota	Sordariomycetes	Xylariales			
Zotu187	Fungi	Basidiomycota	Tremellomycetes	Tremellales	Bulleribasidiaceae	Vishniacozyma	
Zotu188	Fungi	Ascomycota	Dothideomycetes	Pleosporales			
