Classification	RDP	UTAX	SINTAX	Consensus
Xylariales_fam_incertae_sedis	0	12	0	2
Xylodon	0	0	0	4
Xylodon radula	0	0	0	1
Abortiporus	1	1	0	1
Absconditella	1	1	0	1
Acanthophysellum	2	0	0	2
Acarospora	0	0	1	1
Acericola	10	0	0	10
Achroceratosphaeria	1	0	0	1
Acremonium	23	22	1	23
Acrospermum	1	0	0	1
Actinochloris	1	0	0	1
Acutodesmus	2	0	0	2
Agaricus	15	15	19	15
Agrocybe	5	0	0	5
Akenomyces	1	0	0	0
Akenomyces costatus	0	0	0	1
Aleurodiscus	1	1	0	1
Alfaria	1	1	0	1
Allium_sativum	1	0	0	1
Allovahlkampfia	7	0	0	7
Alternaria	272	24	329	332
Alternariaster	9	9	0	9
Alutaceodontia	3	0	0	3
Amanita	4	3	7	7
Amaranthus	1	0	0	1
Amarenomyces	1	0	0	1
Ambrosia	6	5	3	6
Amphinema	1	0	0	1
Amphobotrys	5	5	0	5
Amyloxenasma	3	3	0	3
Angustimassarina	7	0	0	7
Annulohypoxylon	1	0	0	1
Anteholosticha	3	0	0	3
Anthaenantiopsis	0	1	0	1
Anthracocystis	2	0	3	4
Antrodia	21	21	10	21
Antrodiella	1	4	0	4
Apatococcus	1	0	0	1
Apenidiella	1	1	0	1
Aphanobasidium	1	1	0	1
Aporpium	1	1	0	1
Apseudocercosporella	6	0	0	6
Arabis	1	0	0	1
Arachnopeziza	1	1	0	1
Aristida	3	0	3	3
Armoracia	0	3	0	0
Arrhenia	4	2	3	4
Arthrinium	2	1	8	8
Arthrocatena	29	0	0	29
Artomyces	8	8	8	8
Ascobolus	3	0	0	3
Aspergillus	25	20	27	39
Athelia	1	1	0	1
Atrocalyx	4	0	0	4
Aurantiporus	3	3	0	3
Aureobasidium	146	0	108	163
Auricularia	16	7	16	16
Australohydnum	1	1	0	1
Australosphaerella	1	0	0	1
Baeospora	4	4	0	4
Ballistosporomyces	2	1	0	2
Baltazaria	1	0	0	0
Baltazaria galactina	0	0	0	1
Bannoa	3	3	0	3
Bannozyma	8	0	0	8
Barbatosphaeria	18	0	3	18
Bartalinia	2	0	0	2
Basidiobolus	1	1	1	1
Basidiodendron	3	3	0	3
Basiseptospora	1	1	0	1
Batrachochytrium	3	3	3	3
Bensingtonia	4	2	0	4
Betula	1	0	0	1
Biatriospora	5	1	0	5
Bipolaris	35	30	36	38
Bjerkandera	56	55	0	56
Blakeslea	5	4	0	5
Blumeria	2	2	0	2
Bolbitius	1	1	1	1
Boletus	3	1	0	3
Bondarzewia	0	0	1	1
Botryobasidium	11	10	12	12
Botryosphaeria	6	6	6	6
Bovista	1	3	0	3
Brevicellicium	4	4	0	4
Brunneoporus	1	1	0	1
Bryoria	1	0	0	1
Buckleyzyma	10	8	0	10
Bullera	13	13	0	13
Bulleribasidium	24	24	17	24
Bulleromyces	29	27	0	28
Bulleromyces albus	0	0	0	1
Burgoa	5	5	0	5
Byssocorticium	0	0	1	1
Byssomerulius	9	9	0	9
Cabalodontia	5	0	0	5
Caliciopsis	7	7	0	7
Callistosporium	1	1	0	1
Caloplaca	0	0	1	0
Calvatia	9	13	0	15
Calyptella	2	2	0	2
Calyptosphaeria	1	0	0	1
Camarosporidiella	3	0	0	3
Camarosporioides	2	0	0	2
Candelabrochaete	0	4	0	0
Candelaria	4	0	0	4
Candida	17	15	10	17
Capnobotryella	5	1	0	5
Capnocheirides	1	0	0	1
Capronia	3	3	0	3
Cardamine	3	0	3	3
Cartilosoma	2	0	0	2
Catenulomyces	3	0	0	3
Catinella	1	1	0	1
Celerioriella	2	0	0	2
Cellypha	1	0	0	1
Celosporium	7	0	0	7
Cephaloascus	1	1	0	1
Ceraceomyces	1	1	0	1
Ceratobasidium	23	2	0	25
Ceratorhiza	1	0	0	1
Ceratostomella	0	2	0	2
Cercospora	25	0	20	25
Cerinomyces	0	1	0	1
Ceriporia	42	33	30	46
Ceriporiopsis	10	6	0	7
Ceriporiopsis sp	0	0	0	2
Chaetospermum	4	0	0	4
Chaetosphaeronema	4	0	0	4
Chalara	1	0	0	1
Chloroidium	3	3	0	6
Choanephora	2	2	0	2
Chondrostereum	3	3	0	3
Chrysosporium	1	1	0	1
Chrysozyma	14	5	0	14
Cinereomyces	2	0	0	2
Cistella	8	0	0	8
Cladophialophora	11	0	1	12
Cladorrhinum	4	0	0	4
Cladosporium	109	0	5	109
Clavaria	3	2	4	4
Claviceps	17	7	17	17
Clavulina	4	0	0	4
Climacodon	3	3	0	3
Clitocella	1	1	0	1
Clitocybe	7	3	0	7
Clitopilus	5	0	6	6
Colacogloea	3	1	9	13
