"","s1_s2","sample2","sample1","jaccard","nestedness","turnover","s1_sample_type","s1_collect_date","s1_sub_proj","s1_plant_type","s1_gh_block","s1_rain_trt","s1_UTM_lat","s1_UTM_long","s2_sample_type","s2_collect_date","s2_sub_proj","s2_plant_type","s2_gh_block","s2_rain_trt","s2_UTM_lat","s2_UTM_long","s1_s2_plant_type","s1_s2_collect_date","s1_collect_date_plant_type","s2_collect_date_plant_type","shared","not.shared","similarity","s1_s2_rain_trt","s1_s2_gh_block"
"36","Leaf03.Leaf43","Leaf43","Leaf03",0.637837837837838,0.0875022673680392,0.550335570469799,"Leaf","9/5/2018","Marshall","Seedling","B4","Field_rain",638811.969,4700754.249,"Leaf","9/5/2018","Marshall","Seedling","B4","Field_rain",638811.969,4700754.249,"Seedling.Seedling","9/5/2018.9/5/2018","9/5/2018.Seedling","9/5/2018.Seedling",67,77,0.362162162162162,"Field_rain.Field_rain","B4.B4"
"37","Leaf03.Leaf44","Leaf44","Leaf03",0.746268656716418,0.14161749392572,0.604651162790698,"Leaf","9/5/2018","Marshall","Seedling","B4","Field_rain",638811.969,4700754.249,"Leaf","8/14/2018","Marshall","Petri","Nano","Nano",NA,NA,"Seedling.Petri","9/5/2018.8/14/2018","9/5/2018.Seedling","8/14/2018.Petri",34,26,0.253731343283582,"Field_rain.Nano","B4.Nano"
"38","Leaf03.Leaf45","Leaf45","Leaf03",0.8,0.171428571428571,0.628571428571429,"Leaf","9/5/2018","Marshall","Seedling","B4","Field_rain",638811.969,4700754.249,"Leaf","8/14/2018","Marshall","Petri","B2","Sterile_rain",638976.568,4700616.674,"Seedling.Petri","9/5/2018.8/14/2018","9/5/2018.Seedling","8/14/2018.Petri",26,22,0.2,"Field_rain.Sterile_rain","B4.B2"
"39","Leaf03.Leaf46","Leaf46","Leaf03",0.735537190082645,0.287261328013679,0.448275862068966,"Leaf","9/5/2018","Marshall","Seedling","B4","Field_rain",638811.969,4700754.249,"Leaf","7/16/2018","Marshall","Seedling","B2","No_rain",NA,NA,"Seedling.Seedling","9/5/2018.7/16/2018","9/5/2018.Seedling","7/16/2018.Seedling",32,13,0.264462809917355,"Field_rain.No_rain","B4.B2"
"40","Leaf03.Leaf47","Leaf47","Leaf03",0.656441717791411,0.00644171779141104,0.65,"Leaf","9/5/2018","Marshall","Seedling","B4","Field_rain",638811.969,4700754.249,"Leaf","9/5/2018","Marshall","Seedling","B2","Field_rain",638976.568,4700616.674,"Seedling.Seedling","9/5/2018.9/5/2018","9/5/2018.Seedling","9/5/2018.Seedling",56,55,0.343558282208589,"Field_rain.Field_rain","B4.B2"
"41","Leaf03.Leaf48","Leaf48","Leaf03",0.932773109243697,0.199439775910364,0.733333333333333,"Leaf","9/5/2018","Marshall","Seedling","B4","Field_rain",638811.969,4700754.249,"Leaf","9/18/2018","Marshall","Petri","B2","Live_Rain",638976.568,4700616.674,"Seedling.Petri","9/5/2018.9/18/2018","9/5/2018.Seedling","9/18/2018.Petri",8,11,0.0672268907563025,"Field_rain.Live_Rain","B4.B2"
"42","Leaf03.Leaf49","Leaf49","Leaf03",0.61744966442953,0.0275216068755734,0.589928057553957,"Leaf","9/5/2018","Marshall","Seedling","B4","Field_rain",638811.969,4700754.249,"Leaf","9/5/2018","Marshall","Seedling","B3","Field_rain",638809.092,4700697.086,"Seedling.Seedling","9/5/2018.9/5/2018","9/5/2018.Seedling","9/5/2018.Seedling",57,41,0.38255033557047,"Field_rain.Field_rain","B4.B3"
"43","Leaf03.Leaf52","Leaf52","Leaf03",0.792682926829268,0.0255596391580354,0.767123287671233,"Leaf","9/5/2018","Marshall","Seedling","B4","Field_rain",638811.969,4700754.249,"Leaf","8/14/2018","Marshall","Petri","B4","Live_Rain",638811.969,4700754.249,"Seedling.Petri","9/5/2018.8/14/2018","9/5/2018.Seedling","8/14/2018.Petri",34,56,0.207317073170732,"Field_rain.Live_Rain","B4.B4"
"44","Leaf03.Leaf53","Leaf53","Leaf03",0.711267605633803,0.0874143946246285,0.623853211009174,"Leaf","9/5/2018","Marshall","Seedling","B4","Field_rain",638811.969,4700754.249,"Leaf","9/18/2018","Marshall","Petri","Nano","Nano",NA,NA,"Seedling.Petri","9/5/2018.9/18/2018","9/5/2018.Seedling","9/18/2018.Petri",41,34,0.288732394366197,"Field_rain.Nano","B4.Nano"
"45","Leaf03.Leaf54","Leaf54","Leaf03",0.817460317460317,0.207290825934894,0.610169491525424,"Leaf","9/5/2018","Marshall","Seedling","B4","Field_rain",638811.969,4700754.249,"Leaf","8/14/2018","Marshall","Petri","B2","Live_Rain",638976.568,4700616.674,"Seedling.Petri","9/5/2018.8/14/2018","9/5/2018.Seedling","8/14/2018.Petri",23,18,0.182539682539683,"Field_rain.Live_Rain","B4.B2"
